listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
41759384,2025-11-01,30,0,0.0,0.0,54.0,,,,2,,6977.0,0.0
14535080,2026-01-01,31,0,0.0,0.0,9.7,,,,28,,1253.0,0.0
41759384,2026-07-01,31,0,0.0,0.0,53.5,,,,,,6912.0,0.0
14535080,2025-12-01,31,0,0.0,0.0,9.7,,,,28,,1253.0,0.0
14535080,2026-08-01,31,0,0.0,0.0,10.3,,,,28,,1331.0,0.0
41759384,2026-03-01,31,0,0.0,0.0,52.7,,,,2,,6809.0,0.0
41759384,2026-06-01,30,0,0.0,0.0,52.9,,,,,,6835.0,0.0
41759384,2026-04-01,30,0,0.0,0.0,52.2,,,,2,,6744.0,0.0
41759384,2026-08-01,31,0,0.0,0.0,53.4,,,,,,6899.0,0.0
41759384,2026-02-01,28,0,0.0,0.0,54.4,,,,2,,7029.0,0.0
41759384,2026-01-01,31,0,0.0,0.0,53.1,,,,2,,6861.0,0.0
41759384,2025-09-01,30,0,0.0,0.0,54.6,,,,2,,7055.0,0.0
14535080,2026-04-01,30,0,0.0,0.0,9.7,,,,28,,1253.0,0.0
14535080,2026-07-01,31,0,0.0,0.0,10.4,,,,28,,1344.0,0.0
14535080,2026-06-01,30,0,0.0,0.0,9.8,,,,28,,1266.0,0.0
41759384,2026-05-01,31,0,0.0,0.0,53.2,,,,,,6874.0,0.0
14535080,2026-03-01,31,0,0.0,0.0,9.6,,,,28,,1240.0,0.0
14535080,2026-05-01,31,0,0.0,0.0,9.8,,,,28,,1266.0,0.0
14535080,2025-11-01,29,1,0.033,10.0,9.7,10.0,,,28,1292.0,1253.0,1292.0
14535080,2025-10-01,0,31,1.0,306.0,9.9,9.9,,,28,1279.0,1279.0,39536.0
41759384,2025-12-01,31,0,0.0,0.0,52.4,,,,2,,6770.0,0.0
14535080,2026-02-01,28,0,0.0,0.0,9.6,,,,28,,1240.0,0.0
14535080,2025-09-01,0,30,1.0,313.0,10.4,10.4,62,62,28,1344.0,1344.0,40441.0
41759384,2025-10-01,31,0,0.0,0.0,52.5,,,,2,,6783.0,0.0
1023556,2026-05-01,31,0,0.0,0.0,21.5,,,,1,,2778.0,0.0
1023556,2026-08-01,31,0,0.0,0.0,23.8,,,,1,,3075.0,0.0
40501095,2026-04-01,30,0,0.0,0.0,43.0,,,,1,,5556.0,0.0
1023556,2026-03-01,31,0,0.0,0.0,22.6,,,,1,,2920.0,0.0
40501095,2026-05-01,31,0,0.0,0.0,43.8,,,,1,,5659.0,0.0
1023556,2026-06-01,30,0,0.0,0.0,22.3,,,,1,,2881.0,0.0
40501095,2026-02-01,28,0,0.0,0.0,42.2,,,,1,,5452.0,0.0
40501095,2026-08-01,31,0,0.0,0.0,45.6,,,,1,,5892.0,0.0
