listing_id,date,num_reviews,reviewers
16701882,2025-04-01,1,341960500
37808882,2025-05-01,1,424270789
13381106,2024-10-01,3,"5995258,172444062,74140354"
37808882,2025-07-01,1,381061119
471581,2025-06-01,1,138579311
13381106,2025-08-01,3,"26897960,78235546,6627815"
13381106,2025-01-01,8,"40567166,28631497,70874775,38945765,4627116,67630214,289108749,441914038"
35850895,2025-02-01,1,367246627
13381106,2025-06-01,3,"435003168,22881338,79058089"
16701882,2025-02-01,1,375297007
13381106,2024-12-01,5,"6483072,7234424,97738593,214234059,53104781"
471581,2025-02-01,1,88137705
16701882,2024-12-01,1,8503063
13381106,2024-09-01,7,"71372492,23114784,178959821,401831065,477341523,7698966,2251511"
37808882,2024-11-01,2,"4454461,356767713"
16701882,2025-05-01,1,536201820
13381106,2025-03-01,5,"43124499,8916300,370562439,312044327,31613305"
13381106,2024-11-01,4,"85321473,656233874,657647499,79839778"
35850895,2025-03-01,1,229689175
37808882,2025-01-01,1,547720420
37808882,2025-06-01,1,182459498
13381106,2025-05-01,4,"369670554,462860774,17201826,10332598"
37808882,2025-02-01,4,"44502870,196768735,679588922,522280786"
13381106,2025-07-01,4,"462537214,115922256,483293766,125167906"
37808882,2024-12-01,4,"377467338,377467338,41122012,41122012"
16701882,2025-01-01,1,155115418
13381106,2025-04-01,6,"990313,21089495,12665357,144305218,38325991,221124727"
471581,2025-01-01,1,116802341
26848700,2025-03-01,1,423509914
13381106,2025-02-01,9,"100185380,86217495,16008616,15423567,61372003,144929358,99702292,13348396,108858989"
40918469,2025-08-01,1,701565243
40203235,2024-11-01,2,"177906170,412838687"
30895380,2024-09-01,2,"134785443,274806410"
21003330,2024-11-01,1,161100448
40203235,2025-05-01,1,177906170
40203235,2024-10-01,1,38661055
14953096,2024-09-01,1,651805181
3896787,2024-11-01,1,524622542
40918469,2025-05-01,1,52664860
3896787,2025-06-01,1,216057622
13392603,2024-11-01,1,33578307
30895380,2024-11-01,1,104220019
40203235,2025-03-01,2,"677796669,26135393"
25470498,2025-01-01,1,5145456
21003330,2025-05-01,1,150600048
40203235,2025-06-01,2,"33112553,33112553"
30895380,2025-01-01,1,104220019
40203235,2025-02-01,2,"34083264,597814375"
3896787,2025-05-01,1,217644673
15784404,2024-11-01,1,523866087
40918469,2024-11-01,1,441433425
40918469,2025-03-01,1,2325559
40203235,2025-07-01,1,1439663
17485730,2025-07-01,1,482666431
40203235,2025-01-01,1,184448777
40203235,2025-04-01,1,177906170
30895380,2024-12-01,1,104220019
20891313,2024-09-01,3,"97726320,36441049,371939039"
20735902,2024-09-01,1,435784258
20735902,2024-11-01,1,270769343
20735902,2025-04-01,1,119685795
20891313,2024-10-01,3,"172927422,7624633,31825449"
40697310,2024-11-01,1,442769582
40697310,2024-12-01,1,665482195
12794450,2025-07-01,1,1306712
20735902,2025-06-01,1,77547005
12794450,2025-03-01,1,10573140
25693691,2025-02-01,1,98542174
20891313,2024-11-01,3,"42679855,11536393,199256173"
25693691,2024-12-01,1,549941220
20735902,2025-01-01,2,"72772436,4660610"
12794450,2025-02-01,1,91862852
20735902,2024-10-01,1,177616133
20891313,2025-07-01,2,"64943881,8609704"
25693691,2025-03-01,1,212255862
12794450,2025-01-01,2,"44675444,67055679"
20735902,2025-05-01,1,254107544
20891313,2025-06-01,4,"147518702,5611368,201571777,18488985"
25693691,2025-01-01,2,"667265091,261977133"
20891313,2025-04-01,1,93765049
20891313,2024-12-01,2,"49183107,218028846"
20891313,2025-05-01,1,148507538
20891313,2025-03-01,3,"446351504,20396782,62497743"
40697310,2025-03-01,1,685704795
22973277,2024-09-01,1,371934319
6568691,2024-09-01,1,308303790
